hole_id,comp_no,grind_P97,grind_P80,d80_feed,d80_con,d80_tail,d80_calc_head,con_mass_rec_pct,Fe_pct_XRF,SiO2_pct_XRF
GVRD0267,4,53,30.419512195121939,31.5,47.537999999999997,27.876000000000001,34.063617169952579,31.469927626653355,66.739999999999995,6.298
GVRD0267,4,45,23.855813953488372,29.8,45,24.227,30.506241422489357,30.227898822940148,67.8,4.8419999999999996
GVRD0267,4,38,18.280748663101598,25.283999999999999,37.162999999999997,19.63,24.84559594696022,29.747310482862151,68.22,4.4429999999999996
GVRD0267,5,53,27.563513513513513,32.372,45.81,24.754999999999999,31.276786250000004,30.975000000000001,66.319999999999993,6.5419999999999998
GVRD0267,5,45,23.24330900243308,31.891999999999999,41.341999999999999,26.760999999999999,31.05081468531468,29.420579420579422,67.77,5.2460000000000004
GVRD0267,5,38,22.136082474226804,28.317,35.773000000000003,24.135000000000002,27.645888777805549,30.167458135466134,67.89,4.7679999999999998
GVRD0267,6,53,29.106666666666669,34.110999999999997,48.652000000000001,22.885999999999999,30.510106553276636,29.589794897448723,66.849999999999994,5.9740000000000002
GVRD0267,6,45,23.442352941176459,28.545000000000002,42.445,32.070999999999998,35.062752808988762,28.838951310861425,68.25,4.6790000000000003
GVRD0267,6,38,22.112185686653767,29.100999999999999,37.970999999999997,17.158000000000001,23.239957468101075,29.221916437327994,68.319999999999993,4.2
GVRD0267,7,53,29.215107913669087,36.953000000000003,46.786999999999999,25,31.371104723819045,29.242689327668074,68.06,4.6429999999999998
GVRD0267,7,45,23.866504854368927,31.405999999999999,39.814,38.956000000000003,39.199425569176881,28.371278458844134,69.02,3.5830000000000002
GVRD0267,7,38,22.019685039370074,27.38,35.804000000000002,19.641999999999999,24.342276569142285,29.082270567641906,69.17,3.3460000000000001
GVRD0267,8,53,28.374100719424462,35.408000000000001,47.875,35.738,39.865673423423424,34.009009009009006,67.23,5.7069999999999999
GVRD0267,8,45,24.242009132420087,32.338999999999999,39.844000000000001,28.873999999999999,32.390869065467271,32.058970514742633,68.349999999999994,4.2050000000000001
GVRD0267,8,38,22.110887096774192,25.931999999999999,35.369,16,22.249782304423892,32.266933266683324,68.55,3.9
GVRD0267,9,53,27.883508771929812,32.537999999999997,47.07,31.795999999999999,35.966844711177792,27.306826706676674,66.38,6.1369999999999996
GVRD0267,9,45,23.108585858585855,30.029,41.694000000000003,32.347000000000001,34.900429392651837,27.318170457385648,67.83,4.6779999999999999
GVRD0267,9,38,20.981171548117146,25.248999999999999,36.241,15,20.670650137741045,26.696719258702728,68.430000000000007,4.2110000000000003
GVRD0269,2,53,30.205925925925925,32.588000000000001,44.805999999999997,35.805,39.391898499999996,39.85,66.77,5.6710000000000003
GVRD0269,2,45,23.875,27.350999999999999,39.389000000000003,18.04,26.368508764044947,39.011235955056179,68.34,3.9009999999999998
GVRD0269,2,38,21.899122807017541,26.536000000000001,36.076000000000001,20.923999999999999,26.832255447032306,38.99323816679189,68.569999999999993,3.8690000000000002
GVRD0269,3,53,27.242105263157924,35.613,43.331000000000003,20.943999999999999,28.280840640640641,32.772772772772775,67.239999999999995,4.9790000000000001
GVRD0269,3,45,22.681603773584911,30.581,38.298999999999999,22.085999999999999,27.379544499999998,32.65,68.31,3.923
GVRD0269,3,38,20.095238095238088,24.73,37.155000000000001,22.991,27.554051311516361,32.215838121408943,68.59,3.6030000000000002
GVRD0269,4,53,26.88904109589042,32.393000000000001,44.265999999999998,24.09,31.613262784303924,37.288177955511124,66.14,6.383
GVRD0269,4,45,22.650124069478899,26.17,40.64,21.36,28.561108891108887,37.350149850149847,67.25,5.1660000000000004
GVRD0269,4,38,20.547785547785558,24.254999999999999,36.110999999999997,19.632000000000001,25.698911939924905,36.816020025031285,67.75,4.5270000000000001
GVRD0269,5,53,26.556198347107454,32.402999999999999,47.616999999999997,28.007999999999999,35.690597728974296,39.178936860494133,65.709999999999994,7.226
GVRD0269,5,45,23.146835443037986,27.523,40.115000000000002,21.689,28.586985778668005,37.436154231347025,67.22,5.4359999999999999
GVRD0269,5,38,20.615384615384613,26.831,35.356000000000002,21.175000000000001,26.371503681442526,36.644127222639625,67.790000000000006,4.923
GVRD0269,6,53,29.534883720930225,38.137999999999998,45.015000000000001,31.22,36.695559154577289,39.692346173086541,68.790000000000006,3.8170000000000002
GVRD0269,6,45,24.897379912663752,30.94,41.25,27.332999999999998,32.856048952095804,39.685628742514965,69.239999999999995,3.1960000000000002
GVRD0269,6,38,21.740000000000002,24.387,34.625,24.370999999999999,28.3855063202598,39.150637022233326,69.73,2.8119999999999998
GVRD0269,7,53,30.278378378378363,34.011000000000003,46.482999999999997,29.89,36.803196623311656,41.663331665832914,67.5,5.2640000000000002
GVRD0269,7,45,25.176072234762984,26.068999999999999,39.798000000000002,24.7,30.926088145744949,41.237833790865984,68.400000000000006,4.3099999999999996
GVRD0269,7,38,22.275797373358351,22.518000000000001,23.18,22.8,22.95593890836254,41.036554832248378,68.849999999999994,3.8519999999999999
NSRD0796,2,53,24.471830985915489,30.6,36.6,20.2,26.531184321287711,38.604782446876271,65.290000000000006,6.9859999999999998
NSRD0796,2,45,23.143181818181809,23.9,36.799999999999997,18.100000000000001,25.176862725500975,37.844185697866173,66.55,5.6
NSRD0796,2,38,19.875802997858663,21.9,33.9,14.4,21.685023369741806,37.359094203804148,67.33,4.6779999999999999
NSRD0796,3,53,24.971757925072012,24.4,41.1,17.600000000000001,27.895693693963391,43.811462527503778,63.97,9.3930000000000007
NSRD0796,3,45,23.329938900203672,24.9,38.299999999999997,19.7,27.589880788743653,42.418713917976646,65.209999999999994,7.899
NSRD0796,3,38,21.221556886227546,21.5,35.700000000000003,15.8,24.066322045749676,41.539306762561182,66.760000000000005,6.0789999999999997
NSRD0796,4,53,26.102917771883298,30,40.9,22.1,30.197789219790792,43.073346913780824,65.37,7.7729999999999997
NSRD0796,4,45,23.827956989247305,25,37.9,18.3,26.581428214731588,42.252184769038706,66.28,6.9109999999999996
NSRD0796,4,38,21.468283582089569,21,35.1,16.100000000000001,23.929532112612723,41.20806375059329,67.67,5.2720000000000002
NSRD0796,5,53,27.369552238805966,30.1,43.3,17.600000000000001,27.756624189827527,39.519938481819175,64.38,8.3989999999999991
NSRD0796,5,45,23.195899772209579,21.8,38.1,17.7,25.525453455254084,38.360065957127873,65.78,6.9349999999999996
NSRD0796,5,38,20.261569416498993,19.5,33.200000000000003,14.7,21.647271045328399,37.552816461234592,67.19,5.5030000000000001
NSRD0796,6,53,26.343124999999986,25.9,40,20.8,26.722610424513697,30.846929294342146,66.67,5.5049999999999999
NSRD0796,6,45,23.166666666666657,23.7,38.299999999999997,18.2,24.250069895157264,30.099850224663005,67.66,4.5389999999999997
NSRD0796,6,38,20.292035398230105,22.2,33.799999999999997,15.3,20.834856942601817,29.918145635685502,68.58,3.65
NSRD0796,7,53,25.240129449838207,28,40.1,25.6,31.191965275765959,38.565277763903175,64.569999999999993,8.4410000000000007
NSRD0796,7,45,23.258215962441312,22.5,36.799999999999997,20.2,26.430441841296798,37.532782176486748,66.47,6.4539999999999997
NSRD0796,7,38,21.027777777777786,22.9,33.299999999999997,15.1,21.879225123570823,37.248489689949572,67.19,5.6689999999999996
NSRD0797,3,53,24.944223107569726,28.452999999999999,44.81,27.471,33.413411128323006,34.271936837897258,63.98,8.8130000000000006
NSRD0797,3,45,22.741324921135643,27.103000000000002,41.802,21.335000000000001,28.241614434330298,33.745123537061119,65,7.6740000000000004
NSRD0797,3,38,17.953623188405793,20.192,32.604999999999997,17.718,22.478410416927503,31.976962564166765,67.930000000000007,4.6580000000000004
NSRD0797,4,53,25.307194244604332,28.98,43.497,24.411999999999999,32.254243320848936,41.091136079900132,65,8.5239999999999991
NSRD0797,4,45,23.712941176470601,26.384,39.957000000000001,24.378,30.749776753597125,40.89978017585932,66.19,7.1539999999999999
NSRD0797,4,38,20.655555555555551,22.638999999999999,35.679000000000002,20.222999999999999,26.349706182218007,39.639662152031583,67.89,4.9550000000000001
NSRD0797,8,53,25.455000000000013,30.530999999999999,43.386000000000003,26.042000000000002,33.356147653691345,42.171054276356919,63.8,9.7390000000000008
NSRD0797,8,45,22.38208955223881,26.992000000000001,38.734000000000002,24.390999999999998,30.314885187314122,41.301576987479073,65.319999999999993,7.8570000000000002
NSRD0797,8,38,18.87426900584795,22.181999999999999,34.548000000000002,18.273,24.809386609287429,40.162129703763007,67.5,5.3120000000000003
NSRD0797,9,53,25.909999999999982,29.977,44.192,24.234000000000002,33.652096699348846,47.189581618142356,63.61,9.7409999999999997
NSRD0797,9,45,22.442896935933149,27.556999999999999,39.005000000000003,20.43,29.067699900049973,46.501749125437286,65.040000000000006,8.06
NSRD0797,9,38,20.257499999999979,22.65,35.539000000000001,23.716999999999999,28.990863255117329,44.610584123814284,67.64,5.2960000000000003
NSRD0797,13,53,27.650289017341052,31.841000000000001,43.768999999999998,31.25,37.183104062883316,47.392795453976518,65.02,8.452
NSRD0797,13,45,23.904000000000011,28.087,38.951999999999998,29.442,33.848469705308446,46.335117826587272,66.5,6.7389999999999999
NSRD0797,13,38,20.396866840731064,22.91,34.101999999999997,21.86,27.35703314571607,44.903064415259536,68.23,4.6260000000000003
NSRD0797,14,53,26.972727272727298,29.783000000000001,45.567,32.341999999999999,36.554109209311612,31.849597045834479,62.99,10.01
NSRD0797,14,45,20.881028938906752,24.209,36.640999999999998,24.638999999999999,28.244095131086141,30.037453183520601,67.010000000000005,5.6310000000000002
NSRD0797,14,38,18.091194968553445,21.616,34.277999999999999,20.094000000000001,24.20237101013894,28.964826636625361,67.41,5.258
NSRD0798,3,53,26.462758620689669,33.563000000000002,43.395000000000003,28.628,34.281764874925578,38.286482528107115,65.709999999999994,7.3470000000000004
NSRD0798,3,45,24.40889830508474,28.86,41.100999999999999,26.04,31.801849154598823,38.256750246323769,67.11,5.86
NSRD0798,3,38,20.576555023923447,24.266999999999999,35.231999999999999,19.128,25.103256284763294,37.104174644580795,68,5.0439999999999996
NSRD0798,4,53,29.521531100478455,34.936,46.843000000000004,26.95,35.829361672266756,44.635608868781759,64.55,8.8979999999999997
NSRD0798,4,45,25.780542986425338,30.38,42.128,25.632000000000001,32.814499037885192,43.540852557499946,65.67,7.6980000000000004
NSRD0798,4,38,23.41888619854722,25.809000000000001,36.427,23.122,28.71203006714671,42.01450632955062,66.5,6.8220000000000001
NSRD0798,5,53,29.400956937799037,33.014000000000003,48.250999999999998,26.925999999999998,36.393795520268441,44.397634327167374,62.56,10.82
NSRD0798,5,45,25.349333333333341,29.901,42.917999999999999,21.257999999999999,30.499313750225266,42.665345107226536,64.040000000000006,9.4909999999999997
NSRD0798,5,38,23.147806004618943,25.495000000000001,36.734000000000002,19.582000000000001,26.812272545221468,42.154107656375139,65.37,7.9749999999999996
NSRD0798,6,53,29.095897435897442,33.161999999999999,46.481999999999999,29.983000000000001,35.511271417571976,33.506705967464562,65.180000000000007,7.8319999999999999
NSRD0798,6,45,25.299534883720938,31.425999999999998,43.515000000000001,26.754999999999999,32.380447973550332,33.564725379178618,65.98,7.0129999999999999
NSRD0798,6,38,20.892265193370164,25.151,33.887,21.247,25.350667253732009,32.46572194408234,67.02,5.6360000000000001
NSRD0798,7,53,28.438974358974363,35.826999999999998,48.944000000000003,30.936,35.92208155449741,27.688147237324578,62.3,10.69
NSRD0798,7,45,25.134210526315798,31.003,43.372,24.981999999999999,29.870353587876096,26.581585578445328,64.09,8.8650000000000002
NSRD0798,7,38,22.156250000000014,23.638000000000002,34.783000000000001,22.186,25.4422066702741,25.849064620735877,65.709999999999994,7.1289999999999996
NSRD0798,8,53,28.558333333333351,39.006999999999998,48.665999999999997,30.689,36.03695046408054,29.748848328867634,62.77,10.19
NSRD0798,8,45,25.148571428571437,30.169,43.686,28.82,33.212434596883348,29.546849165097179,63.84,8.8770000000000007
NSRD0798,8,38,20.650154798761619,24.870999999999999,35.962000000000003,22.588999999999999,26.330519147247532,27.978158582573322,65.53,7.4429999999999996
NSRD0798,9,53,29.258011049723763,35.298999999999999,50.170999999999999,33.947000000000003,36.972219296573329,18.646568642587059,64.150000000000006,8.4960000000000004
NSRD0798,9,45,25.736156351791522,33.6,44.994999999999997,30.742999999999999,33.443987651294833,18.951639428114206,64.209999999999994,8.2539999999999996
NSRD0798,9,38,20.347133757961785,24.870999999999999,35.875,23.297000000000001,25.612093408664126,18.405894487709691,66.39,6.0339999999999998
NSRD0798,10,53,29.539805825242709,33.106999999999999,46.978000000000002,30.225999999999999,35.088113627892319,29.024078485508088,65.959999999999994,6.57
NSRD0798,10,45,25.6111111111111,30.425999999999998,41.107999999999997,28.065999999999999,31.818171434144286,28.76990825137473,67.44,5.1929999999999996
NSRD0798,10,38,24.113402061855652,23.971,31.98,21.579000000000001,24.463977719239164,27.737503309673698,67.959999999999994,4.3460000000000001
NSRD0799,5,53,26.318840579710155,34.454999999999998,43.844999999999999,36.307000000000002,38.165555694618277,24.655819774718399,66.900000000000006,5.5330000000000004
NSRD0799,5,45,21.909090909090907,31.358000000000001,37.505000000000003,29.206,31.255327956989248,24.693673418354592,66.95,5.1269999999999998
NSRD0799,5,38,18.837398373983753,26.302,35.585999999999999,29.77,31.185241210302575,24.333583395848972,67.400000000000006,4.532
NSRD0799,6,53,27.434328358208944,32.445,44.795999999999999,29.998000000000001,35.060181545386349,34.208552138034506,66.180000000000007,6.8920000000000003
NSRD0799,6,45,23.046454767726154,26.736999999999998,39.107999999999997,26.021000000000001,30.480310354291415,34.074351297405194,67.17,5.7149999999999999
NSRD0799,6,38,20.330434782608705,23.039000000000001,36.258000000000003,23.146000000000001,27.571263073572482,33.749718376849316,67.25,5.8460000000000001
NSRD0799,10,53,26.667870036101107,29.225000000000001,42.856999999999999,31.667000000000002,35.49173749419235,34.179959733622425,65.63,7.3849999999999998
NSRD0799,10,45,22.544270833333336,25.01,38.540999999999997,22.018000000000001,27.567810852713173,33.588397099274822,67.14,5.5030000000000001
NSRD0799,10,38,20.890951276102086,22.748999999999999,34.003999999999998,20.271999999999998,24.809634891277177,33.044238940264933,67.77,4.6840000000000002
NSRD0799,12,53,28.002013422818791,31.893999999999998,43.792999999999999,32.488,36.510542553191492,35.581977471839799,64.72,8.5399999999999991
NSRD0799,12,45,21.421739130434773,27.109000000000002,38.716999999999999,27.443000000000001,31.34265347673837,34.589794897448719,65.94,7.0049999999999999
NSRD0799,12,38,20.890951276102086,23.789000000000001,35.115000000000002,22.335999999999999,26.575433249999996,33.174999999999997,67.11,5.5540000000000003
NSRD0799,13,53,27.363768115942037,31.690999999999999,41.686,29.532,33.273237286862468,30.781942462254939,64.86,7.9820000000000002
NSRD0799,13,45,22.612903225806448,25.605,39.292999999999999,28.071000000000002,31.399367053538004,29.65930363159865,66.37,6.3639999999999999
NSRD0799,13,38,21.239179954441909,22.486999999999998,33.134,20.132999999999999,23.861797446808509,28.680851063829788,68.02,4.5940000000000003
NSRD0799,14,53,28.071794871794864,30.413,44.96,31.954999999999998,34.461246494742106,19.271407110666001,65.42,7.1920000000000002
NSRD0799,14,45,21.920329670329657,26.190999999999999,37.939,25.419,27.781039960039962,18.866133866133865,66.64,5.6319999999999997
NSRD0799,14,38,21.337801608579085,23.936,34.15,21.068000000000001,23.430808049535603,18.061520023968843,67.680000000000007,4.4690000000000003
NSRD0799,16,53,26.922131147540981,29.257000000000001,44.463999999999999,35.201000000000001,37.008894848712174,19.517379344836211,66.06,6.13
NSRD0799,16,45,23.376373626373628,25.878,38.548000000000002,25.297000000000001,27.801475431142215,18.90027493126718,67.44,4.758
NSRD0799,16,38,21.355555555555576,23.936,34.430999999999997,22.337,24.4994072,17.88,67.930000000000007,3.84
NSRD0799,17,53,26.933812949640284,29.739000000000001,46.994999999999997,31.9,34.798849807509626,19.204039798010101,65.819999999999993,6.6280000000000001
NSRD0799,17,45,22.563888888888897,26.369,38.322000000000003,26.396000000000001,28.642892976755817,18.840289927518121,66.84,5.5190000000000001
NSRD0799,17,38,20.853932584269664,23.326000000000001,35.052999999999997,21.391999999999999,23.881034199999998,18.22,67.53,4.6079999999999997
